id,role_id:id,skill_id:id,importance
req_cook_cooking_methods,spec_cook,spec_cooking_methods,core
req_cook_following_recipes,spec_cook,spec_following_recipes,core
req_cook_food_safety_basics,spec_cook,spec_food_safety_basics,core
req_cook_personal_hygiene,spec_cook,spec_personal_hygiene,core
req_cook_knife_skills,spec_cook,spec_knife_skills,core
req_cook_mise_en_place,spec_cook,spec_mise_en_place,core
req_cook_tasting_and_seasoning,spec_cook,spec_tasting_and_seasoning,core
req_cook_temperature_control,spec_cook,spec_temperature_control,core
req_cook_portion_control,spec_cook,spec_portion_control,common
req_cook_plating,spec_cook,spec_plating,common
req_cook_gas_range_safety,spec_cook,spec_gas_range_safety,common
req_cook_slip_and_burn_prevention,spec_cook,spec_slip_and_burn_prevention,common
req_cook_teamwork,spec_cook,spec_teamwork,common
req_cook_doneness_testing,spec_cook,spec_doneness_testing,common
req_cook_allergen_management,spec_cook,spec_allergen_management,common
req_line_cook_reading_order_tickets,spec_line_cook,spec_reading_order_tickets,core
req_line_cook_cooking_methods,spec_line_cook,spec_cooking_methods,core
req_line_cook_mise_en_place,spec_line_cook,spec_mise_en_place,core
req_line_cook_station_management,spec_line_cook,spec_station_management,core
req_line_cook_plating,spec_line_cook,spec_plating,core
req_line_cook_time_management,spec_line_cook,spec_time_management,core
req_line_cook_portion_control,spec_line_cook,spec_portion_control,core
req_line_cook_food_safety_basics,spec_line_cook,spec_food_safety_basics,core
req_line_cook_sauteing_pan_frying,spec_line_cook,spec_sauteing_pan_frying,common
req_line_cook_grilling_broiling,spec_line_cook,spec_grilling_broiling,common
req_line_cook_griddle_cooking,spec_line_cook,spec_griddle_cooking,common
req_line_cook_teamwork,spec_line_cook,spec_teamwork,common
req_line_cook_shift_handover,spec_line_cook,spec_shift_handover,common
req_line_cook_slip_and_burn_prevention,spec_line_cook,spec_slip_and_burn_prevention,common
req_prep_knife_skills,spec_prep,spec_knife_skills,core
req_prep_knife_safety,spec_prep,spec_knife_safety,core
req_prep_mise_en_place,spec_prep,spec_mise_en_place,core
req_prep_greens_washing_disinfection,spec_prep,spec_greens_washing_disinfection,core
req_prep_food_labeling,spec_prep,spec_food_labeling,core
req_prep_stock_rotation_fifo,spec_prep,spec_stock_rotation_fifo,core
req_prep_following_recipes,spec_prep,spec_following_recipes,core
req_prep_food_safety_basics,spec_prep,spec_food_safety_basics,core
req_prep_personal_hygiene,spec_prep,spec_personal_hygiene,core
req_prep_classical_vegetable_cuts,spec_prep,spec_classical_vegetable_cuts,common
req_prep_cold_chain_handling,spec_prep,spec_cold_chain_handling,common
req_prep_kitchen_food_machines,spec_prep,spec_kitchen_food_machines,common
req_prep_legume_and_grain_preparation,spec_prep,spec_legume_and_grain_preparation,common
req_prep_meat_marinating,spec_prep,spec_meat_marinating,common
req_commis_cook_mise_en_place,spec_commis_cook,spec_mise_en_place,core
req_commis_cook_knife_skills,spec_commis_cook,spec_knife_skills,core
req_commis_cook_knife_safety,spec_commis_cook,spec_knife_safety,core
req_commis_cook_following_recipes,spec_commis_cook,spec_following_recipes,core
req_commis_cook_food_safety_basics,spec_commis_cook,spec_food_safety_basics,core
req_commis_cook_personal_hygiene,spec_commis_cook,spec_personal_hygiene,core
req_commis_cook_teamwork,spec_commis_cook,spec_teamwork,core
req_commis_cook_cooking_methods,spec_commis_cook,spec_cooking_methods,common
req_commis_cook_cleaning_sanitation_routines,spec_commis_cook,spec_cleaning_sanitation_routines,common
req_commis_cook_stock_rotation_fifo,spec_commis_cook,spec_stock_rotation_fifo,common
req_commis_cook_slip_and_burn_prevention,spec_commis_cook,spec_slip_and_burn_prevention,common
req_commis_cook_culinary_terminology,spec_commis_cook,spec_culinary_terminology,common
req_dishwashing_dishwasher_operation,spec_dishwashing,spec_dishwasher_operation,core
req_dishwashing_pot_and_pan_washing,spec_dishwashing,spec_pot_and_pan_washing,core
